,sub_specie,endangered,claw_length_cm,size_cm,tail_length_cm,weight_kg
65,Maned three-toed sloth,vulnerable,8.349,63.066,4.642,6.435
66,Maned three-toed sloth,vulnerable,6.696,63.073,4.914,5.425
67,Maned three-toed sloth,vulnerable,6.143,62.76,6.698,7.476
68,Maned three-toed sloth,vulnerable,7.121,64.721,4.865,5.207
69,Maned three-toed sloth,vulnerable,7.888,62.333,4.663,5.009
70,Maned three-toed sloth,vulnerable,8.033,64.321,4.198,4.853
71,Maned three-toed sloth,vulnerable,8.434,63.629,4.738,4.698
72,Maned three-toed sloth,vulnerable,6.706,63.676,3.575,6.01
73,Maned three-toed sloth,vulnerable,7.79,62.203,3.814,3.981
74,Maned three-toed sloth,vulnerable,9.013,63.051,4.001,5.351
75,Maned three-toed sloth,vulnerable,7.715,63.971,5.733,6.871
76,Maned three-toed sloth,vulnerable,7.804,63.218,5.199,4.423
77,Maned three-toed sloth,vulnerable,8.154,63.618,2.526,6.185
78,Maned three-toed sloth,vulnerable,7.794,63.957,5.257,4.903
79,Maned three-toed sloth,vulnerable,6.647,63.525,4.101,3.54
80,Maned three-toed sloth,vulnerable,7.423,62.331,4.752,5.653
81,Maned three-toed sloth,vulnerable,8.15,63.207,3.58,5.092
82,Maned three-toed sloth,vulnerable,9.738,63.562,4.508,6.75
83,Maned three-toed sloth,vulnerable,6.19,61.987,4.331,5.027
84,Maned three-toed sloth,vulnerable,8.826,64.488,4.32,4.824
85,Maned three-toed sloth,vulnerable,9.383,64.055,5.889,5.706
86,Maned three-toed sloth,vulnerable,7.592,64.316,2.963,5.631
87,Maned three-toed sloth,vulnerable,6.946,64.423,4.242,5.788
88,Maned three-toed sloth,vulnerable,7.667,64.312,4.738,5.813
89,Maned three-toed sloth,vulnerable,7.6,62.699,5.579,7.132
90,Maned three-toed sloth,vulnerable,7.789,64.287,4.881,5.912
91,Maned three-toed sloth,vulnerable,7.69,62.524,5.805,6.916
92,Maned three-toed sloth,vulnerable,6.412,63.749,3.961,5.89
93,Maned three-toed sloth,vulnerable,5.7,61.946,4.257,5.934
94,Maned three-toed sloth,vulnerable,6.692,63.378,7.262,5.625
95,Maned three-toed sloth,vulnerable,7.455,62.357,4.629,4.619
96,Maned three-toed sloth,vulnerable,8.522,63.937,4.73,4.675
97,Maned three-toed sloth,vulnerable,7.804,64.829,4.566,4.022
98,Maned three-toed sloth,vulnerable,7.475,62.713,5.26,5.344
99,Maned three-toed sloth,vulnerable,7.662,64.995,5.33,6.28
100,Maned three-toed sloth,vulnerable,6.05,63.637,4.612,6.133
101,Maned three-toed sloth,vulnerable,8.303,64.857,5.493,5.417
102,Maned three-toed sloth,vulnerable,6.16,64.326,5.128,6.704
103,Maned three-toed sloth,vulnerable,9.38,65.837,4.894,4.911
104,Maned three-toed sloth,vulnerable,8.289,63.384,5.021,4.34
105,Maned three-toed sloth,vulnerable,7.931,64.22,3.006,6.309
106,Maned three-toed sloth,vulnerable,7.258,64.128,5.246,5.95
107,Maned three-toed sloth,vulnerable,9.019,61.702,4.898,4.909
108,Maned three-toed sloth,vulnerable,6.844,64.31,3.152,5.63
109,Maned three-toed sloth,vulnerable,7.525,61.507,3.361,4.899
110,Maned three-toed sloth,vulnerable,7.262,63.678,4.989,6.211
111,Maned three-toed sloth,vulnerable,5.693,62.684,4.545,6.648
112,Maned three-toed sloth,vulnerable,8.766,62.454,6.256,6.379
113,Maned three-toed sloth,vulnerable,6.098,64.251,3.006,6.294
114,Maned three-toed sloth,vulnerable,10.281,64.186,3.827,7.137
115,Maned three-toed sloth,vulnerable,6.57,64.369,6.378,6.249
116,Maned three-toed sloth,vulnerable,8.351,62.249,4.297,5.652
117,Maned three-toed sloth,vulnerable,7.854,64.309,5.848,5.11
118,Maned three-toed sloth,vulnerable,8.147,65.173,5.496,4.971
119,Maned three-toed sloth,vulnerable,8.664,61.723,5.507,5.438
120,Maned three-toed sloth,vulnerable,6.207,64.5,3.859,6.366
121,Maned three-toed sloth,vulnerable,7.142,64.038,4.171,5.401
122,Maned three-toed sloth,vulnerable,7.99,62.65,6.114,4.727
123,Maned three-toed sloth,vulnerable,6.3,63.686,4.376,6.316
124,Maned three-toed sloth,vulnerable,8.697,62.256,4.129,4.953
125,Maned three-toed sloth,vulnerable,5.876,65.015,3.224,6.356
126,Maned three-toed sloth,vulnerable,7.09,63.53,6.137,6.498
127,Maned three-toed sloth,vulnerable,9.365,62.094,4.321,5.604
128,Maned three-toed sloth,vulnerable,5.936,62.92,4.966,4.682
129,Maned three-toed sloth,vulnerable,8.32,64.523,4.952,7.377
130,Maned three-toed sloth,vulnerable,6.375,61.809,4.425,6.624
131,Maned three-toed sloth,vulnerable,7.072,63.023,6.715,5.324
132,Maned three-toed sloth,vulnerable,8.041,65.159,3.643,5.709
133,Maned three-toed sloth,vulnerable,8.914,64.757,4.681,7.601
134,Maned three-toed sloth,vulnerable,10,62.688,4.54,5.666
135,Maned three-toed sloth,vulnerable,6.807,63.262,4.576,5.75
136,Maned three-toed sloth,vulnerable,7.44,61.337,3.416,6.701
137,Maned three-toed sloth,vulnerable,7.539,64.871,4.196,6.399
138,Maned three-toed sloth,vulnerable,6.152,64.478,4.143,6.407
139,Maned three-toed sloth,vulnerable,8.561,64.593,3.687,4.369
140,Maned three-toed sloth,vulnerable,6.799,65.383,2.913,6.231
141,Maned three-toed sloth,vulnerable,8.206,61.442,6.036,4.985
142,Maned three-toed sloth,vulnerable,6.187,62.061,4.258,5.444
143,Maned three-toed sloth,vulnerable,8.921,64.373,3.808,7.029
144,Maned three-toed sloth,vulnerable,6.559,63.081,2.018,5.972
145,Maned three-toed sloth,vulnerable,6.67,63.702,5.91,5.146
146,Maned three-toed sloth,vulnerable,8.212,63.978,3.924,5.623
147,Maned three-toed sloth,vulnerable,8.134,62.468,4.536,5.056
148,Maned three-toed sloth,vulnerable,7.522,65.305,6.538,5.195
149,Maned three-toed sloth,vulnerable,8.702,63.607,4.333,4.426
150,Maned three-toed sloth,vulnerable,6.849,64.24,2.966,4.38
151,Maned three-toed sloth,vulnerable,5.097,60.906,4.095,5.421
152,Maned three-toed sloth,vulnerable,5.705,62.847,5.941,6.331
153,Maned three-toed sloth,vulnerable,7.986,62.981,5.936,6.648
154,Maned three-toed sloth,vulnerable,5.856,63.464,4.05,5.598
155,Maned three-toed sloth,vulnerable,7.1,61.642,4.956,5.33
156,Maned three-toed sloth,vulnerable,7.93,63.799,4.975,5.737
157,Maned three-toed sloth,vulnerable,8.129,64.019,4.641,6.615
158,Maned three-toed sloth,vulnerable,7.274,63.147,6.363,4.191
159,Maned three-toed sloth,vulnerable,8.294,62.804,4.934,6.67
160,Maned three-toed sloth,vulnerable,7.008,62.967,5.437,4.564
161,Maned three-toed sloth,vulnerable,7.242,63.616,5.43,5.002
162,Maned three-toed sloth,vulnerable,7.041,63.985,5.511,6.061
163,Maned three-toed sloth,vulnerable,7.579,63.101,4.174,6.875
164,Maned three-toed sloth,vulnerable,7.939,62.701,4.765,6.33
165,Maned three-toed sloth,vulnerable,8.118,65.036,3.319,2.859
166,Maned three-toed sloth,vulnerable,8.264,64.423,4.654,5.668
167,Maned three-toed sloth,vulnerable,7.491,63.17,4.316,5.487
168,Maned three-toed sloth,vulnerable,9.275,62.885,4.396,5.519
169,Maned three-toed sloth,vulnerable,8.77,61.936,4.868,5.983
170,Maned three-toed sloth,vulnerable,8.914,64.381,4.512,5.594
171,Maned three-toed sloth,vulnerable,9.255,63.147,6.084,4.994
172,Maned three-toed sloth,vulnerable,7.233,64.541,4.95,5.914
173,Maned three-toed sloth,vulnerable,7.249,63.532,2.677,5.347
174,Maned three-toed sloth,vulnerable,8.1,64.488,3.864,5.115
175,Maned three-toed sloth,vulnerable,6.139,62.8,5.208,6.793
176,Maned three-toed sloth,vulnerable,7.101,62.291,3.793,5.677
177,Maned three-toed sloth,vulnerable,9.211,62.639,4.396,5.596
178,Maned three-toed sloth,vulnerable,7.032,65.962,4.971,6.451
179,Maned three-toed sloth,vulnerable,7.906,63.639,6.189,5.981
180,Maned three-toed sloth,vulnerable,7.545,63.488,4.385,6.129
181,Maned three-toed sloth,vulnerable,8.861,63.503,4.157,5.627
182,Maned three-toed sloth,vulnerable,6.896,62.811,6.267,5.213
183,Maned three-toed sloth,vulnerable,6.546,64.309,4.593,6.484
184,Maned three-toed sloth,vulnerable,9.411,62.424,5.877,4.455
185,Maned three-toed sloth,vulnerable,6.086,63.904,5.909,4.557
186,Maned three-toed sloth,vulnerable,7.88,63.456,5.85,4.444
187,Maned three-toed sloth,vulnerable,7.935,62.824,5.196,5.89
188,Maned three-toed sloth,vulnerable,7.109,62.739,5.541,6.527
189,Maned three-toed sloth,vulnerable,6.366,63.424,5.847,6.432
190,Maned three-toed sloth,vulnerable,6.982,62.471,4.297,6.558
191,Maned three-toed sloth,vulnerable,6.905,63.459,4.851,4.836
192,Maned three-toed sloth,vulnerable,6.422,62.809,3.671,5.833
193,Maned three-toed sloth,vulnerable,7.062,64.996,3.396,5.661
194,Maned three-toed sloth,vulnerable,5.749,60.699,5.258,5.605
195,Maned three-toed sloth,vulnerable,7.144,64.116,3.936,4.371
196,Maned three-toed sloth,vulnerable,6.978,62.094,5.933,4.818
197,Maned three-toed sloth,vulnerable,7.124,63.765,7.195,5.498
198,Maned three-toed sloth,vulnerable,10.342,64.229,6.616,5.605
199,Maned three-toed sloth,vulnerable,7.808,62.714,5.5,6.551
200,Maned three-toed sloth,vulnerable,7.54,64.27,5.772,5.558
201,Maned three-toed sloth,vulnerable,7.917,63.753,4.952,5.161
202,Maned three-toed sloth,vulnerable,7.737,63.078,4.568,5.746
203,Maned three-toed sloth,vulnerable,6.369,63.83,4.088,5.308
204,Maned three-toed sloth,vulnerable,7.11,63.825,5.281,6.297
205,Maned three-toed sloth,vulnerable,7.09,62.236,5.794,7.547
206,Maned three-toed sloth,vulnerable,7.777,63.267,4.767,6.638
207,Maned three-toed sloth,vulnerable,7.809,63.268,5.056,4.805
208,Maned three-toed sloth,vulnerable,6.305,62.909,7.107,6.09
209,Maned three-toed sloth,vulnerable,7.316,64.309,5.996,7.099
210,Maned three-toed sloth,vulnerable,7.029,64.918,4.855,3.602
211,Maned three-toed sloth,vulnerable,6.638,62.981,4.398,4.451
212,Maned three-toed sloth,vulnerable,8.002,63.051,4.891,4.572
213,Maned three-toed sloth,vulnerable,7.03,63.156,4.234,6.248
214,Maned three-toed sloth,vulnerable,8.277,63.443,5.033,7.935
215,Maned three-toed sloth,vulnerable,7.546,62.909,5.521,5.981
216,Maned three-toed sloth,vulnerable,5.462,62.918,3.295,5.831
217,Maned three-toed sloth,vulnerable,8.975,64.295,4.873,7.092
218,Maned three-toed sloth,vulnerable,9.347,65.115,1.783,4.869
219,Maned three-toed sloth,vulnerable,10.511,63.946,6.559,8.132
220,Maned three-toed sloth,vulnerable,9.458,62.154,4.835,4.425
221,Maned three-toed sloth,vulnerable,6.782,62.818,6.381,6.459
222,Maned three-toed sloth,vulnerable,7.201,62.548,3.975,4.72
223,Maned three-toed sloth,vulnerable,5.918,63.596,4.245,8.222
224,Maned three-toed sloth,vulnerable,6.899,63.233,4.163,6.68
225,Maned three-toed sloth,vulnerable,9.422,64.178,6.34,7.58
226,Maned three-toed sloth,vulnerable,8.162,64.121,5.87,5.332
227,Maned three-toed sloth,vulnerable,6.633,63.959,5.569,5.347
228,Maned three-toed sloth,vulnerable,8.413,63.776,6.469,7.362
229,Maned three-toed sloth,vulnerable,5.004,63.055,4.889,5.623
230,Maned three-toed sloth,vulnerable,7.159,62.337,5.087,6.934
231,Maned three-toed sloth,vulnerable,6.973,63.342,4.631,6.344
232,Maned three-toed sloth,vulnerable,7.898,62.384,4.984,5.102
233,Maned three-toed sloth,vulnerable,7.887,63.452,4.724,6.525
234,Maned three-toed sloth,vulnerable,7.364,64.377,1.112,6.2
235,Maned three-toed sloth,vulnerable,6.403,62.647,3.505,3.954
236,Maned three-toed sloth,vulnerable,7.173,64.081,3.958,5.986
237,Maned three-toed sloth,vulnerable,8.808,63.704,3.732,5.652
238,Maned three-toed sloth,vulnerable,7.058,62.734,6.096,5.186
239,Maned three-toed sloth,vulnerable,8.866,63.967,5.276,5.537
240,Maned three-toed sloth,vulnerable,8.224,65.008,5.965,6.962
241,Maned three-toed sloth,vulnerable,8.159,62.576,4.359,5.683
242,Maned three-toed sloth,vulnerable,10.179,62.822,4.565,5.83
243,Maned three-toed sloth,vulnerable,7.466,63.895,4.655,5.462
244,Maned three-toed sloth,vulnerable,7.393,62.166,6.597,5.735
245,Maned three-toed sloth,vulnerable,8.105,63.257,4.561,5.151
246,Maned three-toed sloth,vulnerable,7.114,63.712,4.15,5.585
247,Maned three-toed sloth,vulnerable,8.817,63.353,4.418,5.258
248,Maned three-toed sloth,vulnerable,7.685,62.622,4.3,5.738
249,Maned three-toed sloth,vulnerable,7.864,63.248,5.351,3.868
250,Maned three-toed sloth,vulnerable,7.399,63.836,5.797,6.2
251,Maned three-toed sloth,vulnerable,8.667,62.118,5.001,4.871
252,Maned three-toed sloth,vulnerable,5.695,62.67,5.057,6.474
253,Maned three-toed sloth,vulnerable,7.455,61.481,4.66,6.028
254,Maned three-toed sloth,vulnerable,6.704,63.896,4.464,6.63
255,Maned three-toed sloth,vulnerable,6.418,61.505,5.916,5.707
256,Maned three-toed sloth,vulnerable,9.479,62.626,5.177,4.987
257,Maned three-toed sloth,vulnerable,4.999,63.586,4.697,6.222
258,Maned three-toed sloth,vulnerable,7.651,64.602,4.144,5.581
259,Maned three-toed sloth,vulnerable,7.92,63.145,6.4,6.78
260,Maned three-toed sloth,vulnerable,6.548,65.432,5.377,5.181
261,Maned three-toed sloth,vulnerable,6.795,63.084,4.928,5.369
262,Maned three-toed sloth,vulnerable,7.859,63.999,5.537,4.86
263,Maned three-toed sloth,vulnerable,8.304,63.249,5.101,6.653
264,Maned three-toed sloth,vulnerable,6.438,63.47,6.572,5.588
265,Maned three-toed sloth,vulnerable,8.185,61.542,5.006,6.133
266,Maned three-toed sloth,vulnerable,9.009,62.897,4.733,6.672
267,Maned three-toed sloth,vulnerable,6.8,63.232,4.807,5.455
268,Maned three-toed sloth,vulnerable,6.404,64.161,2.829,5.041
269,Maned three-toed sloth,vulnerable,7.871,65.494,5.609,3.711
270,Maned three-toed sloth,vulnerable,6.529,62.786,3.414,5.286
271,Maned three-toed sloth,vulnerable,7.001,63.95,4.135,6.246
272,Maned three-toed sloth,vulnerable,7.891,64.9,4.559,5.509
273,Maned three-toed sloth,vulnerable,7.808,62.75,4.235,5.968
274,Maned three-toed sloth,vulnerable,9.158,61.981,6.13,4.196
275,Maned three-toed sloth,vulnerable,9.035,64.503,6.355,5.901
276,Maned three-toed sloth,vulnerable,6.945,63.602,5.574,5.165
277,Maned three-toed sloth,vulnerable,8,61.541,5.084,5.821
278,Maned three-toed sloth,vulnerable,7.493,63.116,5.611,5.211
279,Maned three-toed sloth,vulnerable,7.125,63.416,5.327,3.682
280,Maned three-toed sloth,vulnerable,7.92,62.121,6.196,4.977
281,Maned three-toed sloth,vulnerable,6.501,63.341,3.629,4.305
282,Maned three-toed sloth,vulnerable,7.344,64.65,6.45,4.829
283,Maned three-toed sloth,vulnerable,7.757,63.232,5.619,5.789
284,Maned three-toed sloth,vulnerable,7.422,63.587,7.141,5.315
285,Maned three-toed sloth,vulnerable,7.966,62.811,5.366,5.325
286,Maned three-toed sloth,vulnerable,8.515,63.786,3.877,6.114
287,Maned three-toed sloth,vulnerable,7.49,63.146,3.996,4.54
288,Maned three-toed sloth,vulnerable,7.132,63.713,4.866,6.639
289,Maned three-toed sloth,vulnerable,6.511,63.052,4.992,6.704
290,Maned three-toed sloth,vulnerable,8.67,63.035,4.918,4.702
291,Maned three-toed sloth,vulnerable,6.351,63.3,4.343,6.352
292,Maned three-toed sloth,vulnerable,6.933,63.202,4.278,5.582
293,Maned three-toed sloth,vulnerable,6.466,62.332,5.011,5.803
294,Maned three-toed sloth,vulnerable,6.887,63.374,4.517,5.142
295,Maned three-toed sloth,vulnerable,8.308,63.154,4.604,3.459
296,Maned three-toed sloth,vulnerable,6.801,63.156,4.714,5.696
297,Maned three-toed sloth,vulnerable,6.789,63.724,5.594,6.903
298,Maned three-toed sloth,vulnerable,5.586,63.745,5.585,4.687
299,Maned three-toed sloth,vulnerable,6.412,62.971,6.572,4.773
300,Maned three-toed sloth,vulnerable,7.473,63.798,5.394,5.128
301,Maned three-toed sloth,vulnerable,7.17,64.941,6.17,5.694
302,Maned three-toed sloth,vulnerable,6.239,61.503,4.203,6.131
303,Maned three-toed sloth,vulnerable,7.98,62.666,6.315,5.133
304,Maned three-toed sloth,vulnerable,6.469,61.927,4.343,5.722
305,Maned three-toed sloth,vulnerable,7.185,62.947,5.168,7.022
306,Maned three-toed sloth,vulnerable,7.077,64.353,4.203,7.278
307,Maned three-toed sloth,vulnerable,9.263,62.408,5.778,4.286
308,Maned three-toed sloth,vulnerable,5.808,64.193,5.277,5.316
309,Maned three-toed sloth,vulnerable,7.763,64.659,4.189,4.945
310,Maned three-toed sloth,vulnerable,7.297,63.194,5.059,5.772
311,Maned three-toed sloth,vulnerable,8.459,63.871,5.24,4.828
312,Maned three-toed sloth,vulnerable,7.715,62.709,5.162,4.368
313,Maned three-toed sloth,vulnerable,7.758,65.701,5.385,6.319
314,Maned three-toed sloth,vulnerable,7.215,63.814,5.422,6.46
315,Maned three-toed sloth,vulnerable,8.997,62.35,3.767,6.439
316,Maned three-toed sloth,vulnerable,8.769,63.018,4.494,6.665
317,Maned three-toed sloth,vulnerable,7.973,61.903,4.718,7.079
318,Maned three-toed sloth,vulnerable,6.749,63.106,3.416,5.829
319,Maned three-toed sloth,vulnerable,6.005,64.841,3.863,4.632
320,Maned three-toed sloth,vulnerable,6.68,63.835,4.69,7.295
321,Maned three-toed sloth,vulnerable,7.324,61.995,5.34,5.608
322,Maned three-toed sloth,vulnerable,6.602,62.025,6.266,7.291
323,Maned three-toed sloth,vulnerable,6.878,65.231,5.506,4.977
324,Maned three-toed sloth,vulnerable,10.129,63.701,4.97,4.788
325,Maned three-toed sloth,vulnerable,7.477,61.589,4.921,6.119
326,Maned three-toed sloth,vulnerable,8.916,64.102,4.436,7.551
327,Maned three-toed sloth,vulnerable,7.552,64.627,4.559,6.659
328,Maned three-toed sloth,vulnerable,6.56,64.43,5.109,5.209
329,Maned three-toed sloth,vulnerable,7.692,63.042,4.008,5.16
330,Maned three-toed sloth,vulnerable,6.106,63.692,7.458,5.96
331,Maned three-toed sloth,vulnerable,9.388,63.418,5.632,4.57
332,Maned three-toed sloth,vulnerable,8.722,64.926,4.625,7.482
333,Maned three-toed sloth,vulnerable,9.257,64.876,4.895,6.266
334,Maned three-toed sloth,vulnerable,7.998,64.637,7.774,7.124
335,Maned three-toed sloth,vulnerable,7.898,61.238,3.078,4.985
336,Maned three-toed sloth,vulnerable,6.411,64.025,4.07,4.056
337,Maned three-toed sloth,vulnerable,7.831,63.953,3.835,4.661
338,Maned three-toed sloth,vulnerable,6.249,62.934,4.254,6.236
339,Maned three-toed sloth,vulnerable,7.252,62.93,5.532,6.287
340,Maned three-toed sloth,vulnerable,7.113,63.059,4.411,6.553
341,Maned three-toed sloth,vulnerable,8.391,63.367,3.113,4.384
342,Maned three-toed sloth,vulnerable,6.997,62.554,3.773,5.522
343,Maned three-toed sloth,vulnerable,7.537,63.452,6.1,4.235
344,Maned three-toed sloth,vulnerable,7.813,62.764,4.572,4.718
345,Maned three-toed sloth,vulnerable,7.86,63.164,7.401,6.035
346,Maned three-toed sloth,vulnerable,8.463,62.109,6.179,6.017
347,Maned three-toed sloth,vulnerable,7.526,64.741,4.681,5.098
348,Maned three-toed sloth,vulnerable,7.563,63.918,4.882,6.34
349,Maned three-toed sloth,vulnerable,8.192,63.859,6.606,5.093
350,Maned three-toed sloth,vulnerable,7.109,63.13,6.539,5.502
351,Maned three-toed sloth,vulnerable,7.51,61.77,4.534,7.22
352,Maned three-toed sloth,vulnerable,5.507,65.896,5.648,4.755
353,Maned three-toed sloth,vulnerable,8.369,63.429,6.051,5.091
354,Maned three-toed sloth,vulnerable,7.254,64.543,4.222,5.434
355,Maned three-toed sloth,vulnerable,7.955,63.163,5.981,6.749
356,Maned three-toed sloth,vulnerable,8.434,63.55,5.154,6.314
357,Maned three-toed sloth,vulnerable,5.812,63.169,5.644,5.664
358,Maned three-toed sloth,vulnerable,7.166,63.461,5.061,4.978
359,Maned three-toed sloth,vulnerable,6.722,63.142,3.944,3.713
360,Maned three-toed sloth,vulnerable,6.741,63.827,4.438,6.899
361,Maned three-toed sloth,vulnerable,5.724,63.135,4.628,5.63
362,Maned three-toed sloth,vulnerable,7.13,64.164,2.333,6.965
363,Maned three-toed sloth,vulnerable,8.364,60.734,4.628,7.694
364,Maned three-toed sloth,vulnerable,6.787,64.107,3.855,5.661
365,Maned three-toed sloth,vulnerable,7.092,63.309,5.028,5.418
366,Maned three-toed sloth,vulnerable,6.811,63.315,4.655,3.73
367,Maned three-toed sloth,vulnerable,6.529,63.272,3.951,5.897
368,Maned three-toed sloth,vulnerable,6.877,63.149,5.864,5.572
369,Maned three-toed sloth,vulnerable,8.752,62.978,4.458,6.843
370,Maned three-toed sloth,vulnerable,7.062,63.823,3.374,3.19
371,Maned three-toed sloth,vulnerable,6.853,64.025,5.411,6.584
372,Maned three-toed sloth,vulnerable,6.571,64.153,4.259,6.496
373,Maned three-toed sloth,vulnerable,7.791,63.858,4.114,6.843
374,Maned three-toed sloth,vulnerable,7.468,63.72,5.704,6.8
375,Maned three-toed sloth,vulnerable,6.913,64.146,6.375,5.32
376,Maned three-toed sloth,vulnerable,6.758,65.289,5.042,6.842
377,Maned three-toed sloth,vulnerable,6.941,64.108,6.649,6.355
378,Maned three-toed sloth,vulnerable,7.217,62.722,5.56,7.223
379,Maned three-toed sloth,vulnerable,8.467,63.385,4.704,6.323
380,Maned three-toed sloth,vulnerable,5.521,62.737,5.341,5.034
381,Maned three-toed sloth,vulnerable,5.842,62.883,4.999,6.773
382,Maned three-toed sloth,vulnerable,6.552,62.148,4.908,6.934
383,Maned three-toed sloth,vulnerable,9.122,63.822,3.203,6.349
384,Maned three-toed sloth,vulnerable,7.959,62.326,5.193,5.693
385,Maned three-toed sloth,vulnerable,8.089,62.391,5.673,6.023
386,Maned three-toed sloth,vulnerable,7.874,64.111,7.051,4.772
387,Maned three-toed sloth,vulnerable,8.18,61.834,5.576,6.441
388,Maned three-toed sloth,vulnerable,7.704,63.203,3.619,5.758
389,Maned three-toed sloth,vulnerable,7.049,63.497,3.254,5.487
390,Maned three-toed sloth,vulnerable,9.006,63.919,2.994,6.642
391,Maned three-toed sloth,vulnerable,7.324,63.008,2.431,6.297
392,Maned three-toed sloth,vulnerable,7.641,61.96,5.485,6.031
393,Maned three-toed sloth,vulnerable,6.881,63.58,3.834,4.065
394,Maned three-toed sloth,vulnerable,6.844,63.239,6.683,7.037
395,Maned three-toed sloth,vulnerable,7.126,63.788,4.997,7.132
396,Maned three-toed sloth,vulnerable,7.079,63.497,3.971,4.945
